data;hora;temperatura_c;umidade_pct;reservatorio_pct
24/08/2026;16:00;30,8;41,1;50
24/08/2026;17:00;30,0;38,9;50
24/08/2026;18:00;29,6;37,2;50
24/08/2026;19:00;27,4;36,8;50
24/08/2026;20:00;25,8;36,2;50
24/08/2026;21:00;24,1;35,9;50
24/08/2026;22:00;22,2;35,2;50
24/08/2026;23:00;21,0;35,0;50
25/08/2026;00:00;20,0;34,4;50
25/08/2026;01:00;18,7;33,9;50
25/08/2026;02:00;18,2;33,8;50
25/08/2026;03:00;18,0;34,0;50
25/08/2026;04:00;18,1;34,1;50
25/08/2026;05:00;18,1;33,7;50
25/08/2026;06:00;19,4;33,6;50
25/08/2026;07:00;21,6;32,7;50
25/08/2026;08:00;22,5;61,7;38
25/08/2026;09:00;24,6;60,2;38
25/08/2026;10:00;25,6;58,8;38
25/08/2026;11:00;27,3;57,3;38
25/08/2026;12:00;29,5;55,4;38
25/08/2026;13:00;30,2;53,3;38
25/08/2026;14:00;31,4;51,2;38
25/08/2026;15:00;31,2;49,1;38
25/08/2026;16:00;30,8;46,9;38
25/08/2026;17:00;30,1;44,9;38
25/08/2026;18:00;29,1;42,7;38
25/08/2026;19:00;28,1;41,8;38
25/08/2026;20:00;26,9;41,4;38
25/08/2026;21:00;24,6;40,7;38
25/08/2026;22:00;23,4;40,6;38
25/08/2026;23:00;20,6;40,4;38
26/08/2026;00:00;19,2;40,4;38
26/08/2026;01:00;18,2;40,1;38
26/08/2026;02:00;18,7;39,6;38
26/08/2026;03:00;17,4;39,3;38
26/08/2026;04:00;18,5;39,4;38
26/08/2026;05:00;19,5;38,9;38
26/08/2026;06:00;19,5;38,3;38
26/08/2026;07:00;21,1;37,5;38
26/08/2026;08:00;23,6;36,1;38
26/08/2026;09:00;24,0;35,0;38
26/08/2026;10:00;26,2;33,7;38
26/08/2026;11:00;27,3;32,3;38
26/08/2026;12:00;29,5;60,8;25
26/08/2026;13:00;30,2;58,8;25
26/08/2026;14:00;30,0;57,0;25
26/08/2026;15:00;31,2;54,9;25
26/08/2026;16:00;30,1;52,5;25
26/08/2026;17:00;30,6;50,1;25
26/08/2026;18:00;28,5;48,6;25
26/08/2026;19:00;27,0;47,8;25
26/08/2026;20:00;25,8;47,6;25
26/08/2026;21:00;24,4;46,9;25
26/08/2026;22:00;23,3;46,7;25
26/08/2026;23:00;20,7;46,1;25
27/08/2026;00:00;20,0;45,7;25
27/08/2026;01:00;18,2;45,9;25
27/08/2026;02:00;18,5;45,8;25
27/08/2026;03:00;17,3;45,3;25
27/08/2026;04:00;18,4;44,9;25
27/08/2026;05:00;18,2;44,5;25
27/08/2026;06:00;19,2;44,0;25
27/08/2026;07:00;21,2;43,4;25
27/08/2026;08:00;22,9;42,0;25
27/08/2026;09:00;24,1;41,1;25
27/08/2026;10:00;26,2;39,8;25
27/08/2026;11:00;27,1;38,5;25
27/08/2026;12:00;28,4;37,0;25
27/08/2026;13:00;29,8;35,3;25
27/08/2026;14:00;31,2;33,3;25
27/08/2026;15:00;31,0;54,0;16
27/08/2026;16:00;30,5;52,4;16
27/08/2026;17:00;29,7;50,8;16
27/08/2026;18:00;29,5;48,9;16
27/08/2026;19:00;27,3;48,4;16
27/08/2026;20:00;26,9;48,2;16
27/08/2026;21:00;25,0;47,8;16
27/08/2026;22:00;22,8;47,1;16
27/08/2026;23:00;21,1;46,9;16
28/08/2026;00:00;20,2;46,2;16
28/08/2026;01:00;18,6;45,8;16
28/08/2026;02:00;18,6;45,5;16
28/08/2026;03:00;17,8;45,5;16
28/08/2026;04:00;17,5;45,7;16
28/08/2026;05:00;18,2;45,4;16
28/08/2026;06:00;19,5;45,4;16
28/08/2026;07:00;20,6;44,4;16
28/08/2026;08:00;23,4;43,2;16
28/08/2026;09:00;24,2;42,2;16
28/08/2026;10:00;25,9;40,8;16
28/08/2026;11:00;27,2;39,3;16
28/08/2026;12:00;28,7;37,1;16
28/08/2026;13:00;30,9;35,0;16
28/08/2026;14:00;30,4;32,7;16
28/08/2026;15:00;30,7;44,7;10
28/08/2026;16:00;30,0;42,9;10
28/08/2026;17:00;30,1;40,9;10
28/08/2026;18:00;28,6;39,2;10
28/08/2026;19:00;27,0;38,8;10
28/08/2026;20:00;25,5;38,4;10
28/08/2026;21:00;23,8;38,4;10
28/08/2026;22:00;22,5;38,3;10
28/08/2026;23:00;21,4;37,9;10
29/08/2026;00:00;20,3;37,6;10
29/08/2026;01:00;19,2;37,1;10
29/08/2026;02:00;18,0;37,1;10
29/08/2026;03:00;18,8;37,2;10
29/08/2026;04:00;18,6;36,9;10
29/08/2026;05:00;18,1;36,5;10
29/08/2026;06:00;20,5;36,1;10
29/08/2026;07:00;21,6;35,0;10
29/08/2026;08:00;22,2;34,1;10
29/08/2026;09:00;24,5;32,6;10
29/08/2026;10:00;26,7;39,5;6
29/08/2026;11:00;27,9;37,5;6
29/08/2026;12:00;29,4;35,5;6
29/08/2026;13:00;29,7;33,9;6
29/08/2026;14:00;30,2;32,1;6
29/08/2026;15:00;30,4;35,2;4
29/08/2026;16:00;30,9;33,1;4
29/08/2026;17:00;30,3;30,9;4
29/08/2026;18:00;29,1;29,5;4
29/08/2026;19:00;28,2;28,7;4
29/08/2026;20:00;26,2;28,2;4
29/08/2026;21:00;24,8;28,1;4
29/08/2026;22:00;23,2;27,9;4
29/08/2026;23:00;20,6;27,8;4
30/08/2026;00:00;20,3;27,8;4
30/08/2026;01:00;19,3;27,2;4
30/08/2026;02:00;18,2;27,2;4
30/08/2026;03:00;18,0;26,9;4
30/08/2026;04:00;18,6;26,7;4
30/08/2026;05:00;19,1;26,8;4
30/08/2026;06:00;19,3;26,8;4
30/08/2026;07:00;21,6;26,1;4
30/08/2026;08:00;22,9;25,5;100
30/08/2026;09:00;23,8;54,5;87
30/08/2026;10:00;26,5;52,9;87
30/08/2026;11:00;28,0;51,3;87
30/08/2026;12:00;29,1;49,5;87
30/08/2026;13:00;30,1;47,9;87
30/08/2026;14:00;31,4;46,0;87
30/08/2026;15:00;31,8;43,4;87
30/08/2026;16:00;30,0;41,5;87
30/08/2026;17:00;30,6;39,1;87
30/08/2026;18:00;29,0;37,5;87
30/08/2026;19:00;27,3;36,6;87
30/08/2026;20:00;25,7;36,0;87
30/08/2026;21:00;23,9;35,6;87
30/08/2026;22:00;23,5;35,5;87
30/08/2026;23:00;21,8;35,2;87
31/08/2026;00:00;20,5;34,8;87
31/08/2026;01:00;18,4;34,3;87
31/08/2026;02:00;18,2;34,5;87
31/08/2026;03:00;17,2;34,4;87
31/08/2026;04:00;18,1;34,4;87
31/08/2026;05:00;18,3;34,4;87
31/08/2026;06:00;19,6;33,9;87
31/08/2026;07:00;20,5;33,0;87
31/08/2026;08:00;23,4;32,2;87
31/08/2026;09:00;25,2;60,8;75
31/08/2026;10:00;26,8;59,4;75
31/08/2026;11:00;27,5;57,8;75
31/08/2026;12:00;29,9;55,8;75
31/08/2026;13:00;29,9;53,9;75
31/08/2026;14:00;30,4;52,3;75
31/08/2026;15:00;30,4;50,0;75
31/08/2026;16:00;30,4;47,7;75
31/08/2026;17:00;29,7;46,0;75
31/08/2026;18:00;29,1;44,4;75
31/08/2026;19:00;27,5;43,4;75
31/08/2026;20:00;26,8;42,6;75
31/08/2026;21:00;24,7;41,9;75
31/08/2026;22:00;23,5;41,4;75
31/08/2026;23:00;21,6;41,5;75
01/09/2026;00:00;20,3;41,3;75
01/09/2026;01:00;19,3;41,0;75
01/09/2026;02:00;17,9;41,2;75
01/09/2026;03:00;18,7;41,4;75
01/09/2026;04:00;18,2;41,3;75
01/09/2026;05:00;18,5;41,0;75
01/09/2026;06:00;20,7;40,9;75
01/09/2026;07:00;21,5;40,2;75
01/09/2026;08:00;22,9;39,3;75
01/09/2026;09:00;24,0;38,4;75
01/09/2026;10:00;25,7;36,7;75
01/09/2026;11:00;27,7;35,2;75
01/09/2026;12:00;29,7;32,9;75
01/09/2026;13:00;30,0;61,3;62
01/09/2026;14:00;30,3;59,6;62
01/09/2026;15:00;30,7;57,9;62
01/09/2026;16:00;30,4;56,1;62
01/09/2026;17:00;30,2;53,8;62
01/09/2026;18:00;29,5;52,0;62
01/09/2026;19:00;27,6;51,4;62
01/09/2026;20:00;26,0;51,0;62
01/09/2026;21:00;23,8;50,8;62
01/09/2026;22:00;23,6;50,7;62
01/09/2026;23:00;21,3;50,3;62
02/09/2026;00:00;20,5;50,3;62
02/09/2026;01:00;18,5;50,3;62
02/09/2026;02:00;18,1;50,2;62
02/09/2026;03:00;18,7;49,8;62
02/09/2026;04:00;18,8;50,0;62
02/09/2026;05:00;18,1;49,7;62
02/09/2026;06:00;20,5;49,5;62
02/09/2026;07:00;21,4;49,0;62
02/09/2026;08:00;22,6;47,7;62
02/09/2026;09:00;25,0;46,1;62
02/09/2026;10:00;26,9;44,8;62
02/09/2026;11:00;27,1;43,5;62
02/09/2026;12:00;29,1;41,5;62
02/09/2026;13:00;30,8;39,2;62
02/09/2026;14:00;31,0;36,9;62
02/09/2026;15:00;30,9;34,8;62
02/09/2026;16:00;30,0;32,6;62
02/09/2026;17:00;29,7;60,4;50
02/09/2026;18:00;29,3;58,7;50
02/09/2026;19:00;27,2;58,3;50
02/09/2026;20:00;26,4;57,7;50
02/09/2026;21:00;23,9;57,6;50
02/09/2026;22:00;22,9;57,2;50
02/09/2026;23:00;21,1;57,1;50
03/09/2026;00:00;20,1;57,3;50
03/09/2026;01:00;18,6;57,2;50
03/09/2026;02:00;19,0;56,9;50
03/09/2026;03:00;18,6;56,7;50
03/09/2026;04:00;17,8;56,8;50
03/09/2026;05:00;19,6;56,4;50
03/09/2026;06:00;19,6;56,6;50
03/09/2026;07:00;21,2;55,6;50
03/09/2026;08:00;22,7;54,8;50
03/09/2026;09:00;24,8;53,2;50
03/09/2026;10:00;25,7;52,2;50
03/09/2026;11:00;27,5;50,6;50
03/09/2026;12:00;29,4;49,0;50
03/09/2026;13:00;30,6;46,8;50
03/09/2026;14:00;30,8;45,0;50
03/09/2026;15:00;31,8;42,9;50
03/09/2026;16:00;31,3;41,0;50
03/09/2026;17:00;29,7;38,9;50
03/09/2026;18:00;28,8;36,8;50
03/09/2026;19:00;27,7;36,4;50
03/09/2026;20:00;25,7;36,0;50
03/09/2026;21:00;24,8;35,2;50
03/09/2026;22:00;22,3;35,0;50
03/09/2026;23:00;20,8;34,3;50
04/09/2026;00:00;19,3;34,5;50
04/09/2026;01:00;18,2;34,4;50
04/09/2026;02:00;18,9;33,9;50
04/09/2026;03:00;18,4;33,4;50
04/09/2026;04:00;18,9;33,4;50
04/09/2026;05:00;18,4;32,9;50
04/09/2026;06:00;20,3;33,0;50
04/09/2026;07:00;21,5;32,2;50
04/09/2026;08:00;22,6;61,4;37
04/09/2026;09:00;24,0;60,6;37
04/09/2026;10:00;25,8;59,3;37
04/09/2026;11:00;28,5;57,9;37
04/09/2026;12:00;29,8;56,2;37
04/09/2026;13:00;29,9;54,0;37
04/09/2026;14:00;31,3;51,9;37
04/09/2026;15:00;30,3;50,0;37
04/09/2026;16:00;30,6;47,6;37
04/09/2026;17:00;29,6;45,8;37
04/09/2026;18:00;29,7;44,3;37
04/09/2026;19:00;27,6;43,4;37
04/09/2026;20:00;26,6;43,3;37
04/09/2026;21:00;23,8;43,2;37
04/09/2026;22:00;23,5;43,0;37
04/09/2026;23:00;21,6;42,4;37
05/09/2026;00:00;19,6;42,4;37
05/09/2026;01:00;19,6;42,1;37
05/09/2026;02:00;17,8;41,8;37
05/09/2026;03:00;17,7;41,8;37
05/09/2026;04:00;17,4;41,5;37
05/09/2026;05:00;19,5;41,2;37
05/09/2026;06:00;20,6;41,3;37
05/09/2026;07:00;20,8;40,6;37
05/09/2026;08:00;23,5;39,1;37
05/09/2026;09:00;24,3;38,1;37
05/09/2026;10:00;26,1;36,7;37
05/09/2026;11:00;28,4;35,2;37
05/09/2026;12:00;29,6;33,1;37
05/09/2026;13:00;30,6;60,8;24
05/09/2026;14:00;31,0;58,9;24
05/09/2026;15:00;30,7;57,0;24
05/09/2026;16:00;31,2;55,2;24
05/09/2026;17:00;29,6;53,1;24
05/09/2026;18:00;28,7;51,7;24
05/09/2026;19:00;27,0;51,1;24
05/09/2026;20:00;25,9;50,2;24
05/09/2026;21:00;25,1;49,3;24
05/09/2026;22:00;22,4;49,3;24
05/09/2026;23:00;20,6;49,1;24
06/09/2026;00:00;20,2;48,9;24
06/09/2026;01:00;18,4;48,8;24
06/09/2026;02:00;18,4;48,5;24
06/09/2026;03:00;18,4;48,1;24
06/09/2026;04:00;18,5;48,2;24
06/09/2026;05:00;19,4;48,2;24
06/09/2026;06:00;20,0;48,1;24
06/09/2026;07:00;21,6;47,4;24
06/09/2026;08:00;22,4;46,7;24
06/09/2026;09:00;23,9;45,2;24
06/09/2026;10:00;26,3;43,9;24
06/09/2026;11:00;27,6;41,8;24
06/09/2026;12:00;29,1;40,2;24
06/09/2026;13:00;30,6;38,1;24
06/09/2026;14:00;31,6;36,2;24
06/09/2026;15:00;31,0;33,9;24
06/09/2026;16:00;31,3;53,4;15
06/09/2026;17:00;29,4;51,7;15
06/09/2026;18:00;28,5;50,2;15
06/09/2026;19:00;28,5;49,5;15
06/09/2026;20:00;26,9;49,1;15
06/09/2026;21:00;25,1;48,7;15
06/09/2026;22:00;22,4;48,1;15
06/09/2026;23:00;22,0;48,1;15
07/09/2026;00:00;20,1;47,8;15
07/09/2026;01:00;18,4;47,7;15
07/09/2026;02:00;17,6;47,8;15
07/09/2026;03:00;17,6;47,6;15
07/09/2026;04:00;18,5;47,7;15
07/09/2026;05:00;18,1;47,7;15
07/09/2026;06:00;20,2;47,7;15
07/09/2026;07:00;20,9;47,2;15
07/09/2026;08:00;23,3;46,1;15
07/09/2026;09:00;23,8;45,3;15
07/09/2026;10:00;26,0;43,8;15
07/09/2026;11:00;28,0;42,4;15
07/09/2026;12:00;28,6;40,5;15
07/09/2026;13:00;30,0;38,7;15
07/09/2026;14:00;30,5;36,4;15
07/09/2026;15:00;30,7;34,3;15
07/09/2026;16:00;30,6;32,3;15
07/09/2026;17:00;30,7;43,5;9
07/09/2026;18:00;28,9;42,0;9
07/09/2026;19:00;28,1;41,6;9
07/09/2026;20:00;25,4;40,8;9
07/09/2026;21:00;24,4;40,1;9
07/09/2026;22:00;22,7;39,5;9
07/09/2026;23:00;21,2;39,5;9
08/09/2026;00:00;19,1;39,2;9
08/09/2026;01:00;19,1;38,7;9
08/09/2026;02:00;17,6;38,5;9
08/09/2026;03:00;17,8;38,4;9
08/09/2026;04:00;17,7;38,4;9
08/09/2026;05:00;18,9;37,9;9
08/09/2026;06:00;19,3;37,7;9
08/09/2026;07:00;21,7;36,5;9
08/09/2026;08:00;22,3;35,8;9
08/09/2026;09:00;25,2;34,1;9
08/09/2026;10:00;26,2;33,0;9
08/09/2026;11:00;28,4;39,9;6
08/09/2026;12:00;29,7;37,8;6
08/09/2026;13:00;30,6;36,1;6
08/09/2026;14:00;31,2;34,2;6
08/09/2026;15:00;30,8;37,1;4
08/09/2026;16:00;31,3;35,3;4
08/09/2026;17:00;29,7;33,4;4
08/09/2026;18:00;29,1;31,7;4
08/09/2026;19:00;27,1;31,4;4
08/09/2026;20:00;26,5;30,5;4
08/09/2026;21:00;23,8;30,1;4
08/09/2026;22:00;23,2;30,1;4
08/09/2026;23:00;21,8;30,1;4
09/09/2026;00:00;20,1;29,8;4
09/09/2026;01:00;19,1;29,8;4
09/09/2026;02:00;18,1;29,5;4
09/09/2026;03:00;17,9;29,3;4
09/09/2026;04:00;18,1;29,2;4
09/09/2026;05:00;18,1;29,0;4
09/09/2026;06:00;19,9;28,9;4
09/09/2026;07:00;21,7;27,9;4
09/09/2026;08:00;22,8;27,1;100
09/09/2026;09:00;24,5;56,2;87
09/09/2026;10:00;25,6;54,9;87
09/09/2026;11:00;27,1;53,3;87
09/09/2026;12:00;29,1;51,9;87
09/09/2026;13:00;30,3;50,2;87
09/09/2026;14:00;31,2;47,9;87
09/09/2026;15:00;31,0;46,2;87
09/09/2026;16:00;30,8;44,2;87
09/09/2026;17:00;30,9;42,4;87
09/09/2026;18:00;29,7;40,1;87
09/09/2026;19:00;28,1;39,3;87
09/09/2026;20:00;25,7;38,4;87
09/09/2026;21:00;24,5;37,6;87
09/09/2026;22:00;23,5;37,5;87
09/09/2026;23:00;21,7;36,9;87
10/09/2026;00:00;19,2;36,8;87
10/09/2026;01:00;19,3;36,9;87
10/09/2026;02:00;18,9;36,9;87
10/09/2026;03:00;18,5;37,0;87
10/09/2026;04:00;18,2;36,5;87
10/09/2026;05:00;18,4;36,5;87
10/09/2026;06:00;19,9;36,5;87
10/09/2026;07:00;20,5;36,0;87
10/09/2026;08:00;22,3;34,7;87
10/09/2026;09:00;24,8;33,1;87
10/09/2026;10:00;25,7;61,5;75
10/09/2026;11:00;27,1;59,9;75
10/09/2026;12:00;29,3;58,2;75
10/09/2026;13:00;30,7;56,1;75
10/09/2026;14:00;30,9;53,7;75
10/09/2026;15:00;30,4;51,3;75
10/09/2026;16:00;31,0;49,3;75
10/09/2026;17:00;30,6;47,5;75
10/09/2026;18:00;29,9;45,5;75
10/09/2026;19:00;27,5;44,7;75
10/09/2026;20:00;26,1;44,4;75
10/09/2026;21:00;24,9;44,4;75
10/09/2026;22:00;23,3;44,2;75
10/09/2026;23:00;21,5;43,5;75
11/09/2026;00:00;20,0;43,1;75
11/09/2026;01:00;18,6;43,4;75
11/09/2026;02:00;17,5;43,5;75
11/09/2026;03:00;18,2;43,4;75
11/09/2026;04:00;18,2;43,0;75
11/09/2026;05:00;18,3;43,0;75
11/09/2026;06:00;20,1;43,2;75
11/09/2026;07:00;20,5;42,6;75
11/09/2026;08:00;22,2;41,8;75
11/09/2026;09:00;24,1;40,5;75
11/09/2026;10:00;26,3;39,3;75
11/09/2026;11:00;27,9;37,6;75
11/09/2026;12:00;28,5;35,5;75
11/09/2026;13:00;29,7;33,9;75
11/09/2026;14:00;30,1;61,8;62
11/09/2026;15:00;31,6;59,4;62
11/09/2026;16:00;30,6;57,6;62
11/09/2026;17:00;29,3;55,6;62
11/09/2026;18:00;29,2;53,9;62
11/09/2026;19:00;28,0;53,3;62
11/09/2026;20:00;26,9;52,6;62
11/09/2026;21:00;24,1;51,9;62
11/09/2026;22:00;22,1;51,5;62
11/09/2026;23:00;21,1;51,5;62
12/09/2026;00:00;19,2;51,1;62
12/09/2026;01:00;18,1;50,9;62
12/09/2026;02:00;18,9;51,0;62
12/09/2026;03:00;17,5;50,8;62
12/09/2026;04:00;18,2;50,5;62
12/09/2026;05:00;19,4;50,6;62
12/09/2026;06:00;19,6;50,5;62
12/09/2026;07:00;20,5;49,5;62
12/09/2026;08:00;23,3;48,3;62
12/09/2026;09:00;23,7;46,8;62
12/09/2026;10:00;26,6;45,4;62
12/09/2026;11:00;28,1;43,7;62
12/09/2026;12:00;28,7;42,2;62
12/09/2026;13:00;29,7;40,7;62
12/09/2026;14:00;30,5;38,5;62
12/09/2026;15:00;31,3;36,1;62
12/09/2026;16:00;31,1;34,2;62
12/09/2026;17:00;30,2;32,2;62
12/09/2026;18:00;29,6;60,3;50
12/09/2026;19:00;27,4;59,7;50
12/09/2026;20:00;26,9;59,3;50
12/09/2026;21:00;25,1;59,3;50
12/09/2026;22:00;22,4;59,1;50
12/09/2026;23:00;21,6;58,5;50
13/09/2026;00:00;20,3;58,4;50
13/09/2026;01:00;19,5;58,3;50
13/09/2026;02:00;17,8;57,9;50
13/09/2026;03:00;18,2;57,6;50
13/09/2026;04:00;18,5;57,0;50
13/09/2026;05:00;18,8;56,6;50
13/09/2026;06:00;20,2;56,1;50
13/09/2026;07:00;21,1;55,1;50
13/09/2026;08:00;22,9;54,2;50
13/09/2026;09:00;24,0;52,9;50
13/09/2026;10:00;25,5;51,2;50
13/09/2026;11:00;27,2;50,0;50
13/09/2026;12:00;28,5;47,9;50
13/09/2026;13:00;29,9;46,3;50
13/09/2026;14:00;30,0;44,7;50
13/09/2026;15:00;31,3;42,5;50
13/09/2026;16:00;31,1;40,2;50
13/09/2026;17:00;29,4;38,2;50
13/09/2026;18:00;28,9;36,2;50
13/09/2026;19:00;28,3;35,3;50
13/09/2026;20:00;25,5;34,5;50
13/09/2026;21:00;25,2;33,7;50
13/09/2026;22:00;22,2;33,6;50
13/09/2026;23:00;20,6;33,7;50
14/09/2026;00:00;20,5;33,2;50
14/09/2026;01:00;19,1;32,8;50
14/09/2026;02:00;18,4;32,8;50
14/09/2026;03:00;17,4;33,0;50
14/09/2026;04:00;18,6;33,1;50
14/09/2026;05:00;18,6;33,0;50
14/09/2026;06:00;19,1;33,0;50
14/09/2026;07:00;20,9;32,0;50
14/09/2026;08:00;22,6;61,2;37
14/09/2026;09:00;25,2;59,8;37
14/09/2026;10:00;26,7;58,2;37
14/09/2026;11:00;27,0;56,7;37
14/09/2026;12:00;29,0;54,7;37
14/09/2026;13:00;29,9;52,6;37
14/09/2026;14:00;30,8;50,8;37
14/09/2026;15:00;31,6;48,9;37
14/09/2026;16:00;31,3;47,1;37
14/09/2026;17:00;29,3;45,4;37
14/09/2026;18:00;29,5;43,2;37
14/09/2026;19:00;27,0;42,6;37
14/09/2026;20:00;26,2;41,9;37
14/09/2026;21:00;24,0;41,5;37
14/09/2026;22:00;22,6;40,9;37
14/09/2026;23:00;20,9;40,3;37
15/09/2026;00:00;19,6;40,3;37
15/09/2026;01:00;19,2;40,1;37
15/09/2026;02:00;17,6;39,9;37
15/09/2026;03:00;17,3;39,5;37
15/09/2026;04:00;18,5;39,1;37
15/09/2026;05:00;19,1;39,1;37
15/09/2026;06:00;19,7;38,9;37
15/09/2026;07:00;21,9;38,4;37
15/09/2026;08:00;23,4;37,7;37
15/09/2026;09:00;24,0;36,7;37
15/09/2026;10:00;26,8;35,1;37
15/09/2026;11:00;27,6;33,2;37
15/09/2026;12:00;28,7;61,4;24
15/09/2026;13:00;30,2;59,3;24
15/09/2026;14:00;31,2;57,1;24
15/09/2026;15:00;30,8;55,1;24
15/09/2026;16:00;30,2;52,9;24
15/09/2026;17:00;30,4;50,7;24
15/09/2026;18:00;28,6;49,0;24
15/09/2026;19:00;28,2;48,3;24
15/09/2026;20:00;25,6;47,9;24
15/09/2026;21:00;25,1;47,6;24
15/09/2026;22:00;22,3;47,4;24
15/09/2026;23:00;21,6;46,9;24
16/09/2026;00:00;19,4;46,9;24
16/09/2026;01:00;18,5;46,9;24
16/09/2026;02:00;18,3;47,0;24
16/09/2026;03:00;17,7;47,2;24
16/09/2026;04:00;19,0;46,8;24
16/09/2026;05:00;18,2;46,3;24
16/09/2026;06:00;19,3;46,2;24
16/09/2026;07:00;22,0;45,0;24
16/09/2026;08:00;23,2;44,0;24
16/09/2026;09:00;24,0;42,7;24
16/09/2026;10:00;25,6;41,6;24
16/09/2026;11:00;27,6;40,3;24
16/09/2026;12:00;28,9;38,3;24
